Location,City,Country,Cost
"Moscow, Russia",Moscow,Russia,4732.71
"Saint Petersburg, Russia",Saint Petersburg,Russia,2307.9
"Vladivostok, Russia",Vladivostok,Russia,1628.37
"Kazan, Russia",Kazan,Russia,1370.7
"Yekaterinburg, Russia",Yekaterinburg,Russia,1226.1
"Novosibirsk, Russia",Novosibirsk,Russia,1120.48
"Nizhny Novgorod, Russia",Nizhny Novgorod,Russia,1111.68
"Ufa, Russia",Ufa,Russia,1089.44
"Irkutsk, Russia",Irkutsk,Russia,1010.77
"Samara, Russia",Samara,Russia,977.17
"Krasnodar, Russia",Krasnodar,Russia,961.76
"Perm, Russia",Perm,Russia,919.84
"Rostov-na-donu, Russia",Rostov-na-donu,Russia,902.65
"Tomsk, Russia",Tomsk,Russia,899.71
"Krasnoyarsk, Russia",Krasnoyarsk,Russia,882.89
"Kaliningrad, Russia",Kaliningrad,Russia,806.64
"Voronezh, Russia",Voronezh,Russia,799.17
"Volgograd, Russia",Volgograd,Russia,740.24
"Izhevsk, Russia",Izhevsk,Russia,700.93
"Saratov, Russia",Saratov,Russia,654.07
"Chelyabinsk, Russia",Chelyabinsk,Russia,652.05
"Belgrade, Serbia",Belgrade,Serbia,2542.5
"Novi Sad, Serbia",Novi Sad,Serbia,1690.41
"Nis, Serbia",Nis,Serbia,1129.17
"Bratislava, Slovakia",Bratislava,Slovakia,3496
"Kosice, Slovakia",Kosice,Slovakia,1905.56
"Ljubljana, Slovenia",Ljubljana,Slovenia,3694.29
"Maribor, Slovenia",Maribor,Slovenia,1484.62
"Madrid, Spain",Madrid,Spain,5193.56
"Barcelona, Spain",Barcelona,Spain,4524.33
"Bilbao, Spain",Bilbao,Spain,4436.65
"Palma de Mallorca, Spain",Palma de Mallorca,Spain,3831.25
"Malaga, Spain",Malaga,Spain,2983.33
"Valencia, Spain",Valencia,Spain,2723
"Alicante, Spain",Alicante,Spain,2575
"Seville (Sevilla), Spain",Seville (Sevilla),Spain,2516.67
"Granada, Spain",Granada,Spain,2291.67
"Santa Cruz de Tenerife, Spain",Santa Cruz de Tenerife,Spain,2000
"Stockholm, Sweden",Stockholm,Sweden,8943.14
"Gothenburg, Sweden",Gothenburg,Sweden,5576.9
"Uppsala, Sweden",Uppsala,Sweden,4480.04
"Malmo, Sweden",Malmo,Sweden,3720.56
"Geneva, Switzerland",Geneva,Switzerland,12336.96
"Zurich, Switzerland",Zurich,Switzerland,11728.95
"Lausanne, Switzerland",Lausanne,Switzerland,10484.47
"Basel, Switzerland",Basel,Switzerland,10468.9
"Lugano, Switzerland",Lugano,Switzerland,10461.12
"Bern, Switzerland",Bern,Switzerland,7300.61
"Kiev (Kyiv), Ukraine",Kiev (Kyiv),Ukraine,1654.58
"Lviv, Ukraine",Lviv,Ukraine,1084.54
"Odessa (Odesa), Ukraine",Odessa (Odesa),Ukraine,1024.32
"Kharkiv, Ukraine",Kharkiv,Ukraine,910.49
"Dnipro, Ukraine",Dnipro,Ukraine,826.69
"Vinnytsia, Ukraine",Vinnytsia,Ukraine,690
"Mykolaiv, Ukraine",Mykolaiv,Ukraine,549.02
"Sumy, Ukraine",Sumy,Ukraine,449.01
"Zaporizhzhya, Ukraine",Zaporizhzhya,Ukraine,337.4
"London, United Kingdom",London,United Kingdom,12412.5
"Brighton, United Kingdom",Brighton,United Kingdom,6647.06
"Cambridge, United Kingdom",Cambridge,United Kingdom,6486.62
"Bristol, United Kingdom",Bristol,United Kingdom,5034.45
"Edinburgh, United Kingdom",Edinburgh,United Kingdom,4502.84
"Liverpool, United Kingdom",Liverpool,United Kingdom,4385.91
"Manchester, United Kingdom",Manchester,United Kingdom,4238.8
"Glasgow, United Kingdom",Glasgow,United Kingdom,4012.8
"Southampton, United Kingdom",Southampton,United Kingdom,3890.53
"Birmingham, United Kingdom",Birmingham,United Kingdom,3469.06
"Belfast, United Kingdom",Belfast,United Kingdom,2089.21
